n01440764,tench
n02108422,bull mastiff
n02108551,Tibetan mastiff
n02108915,French bulldog
n02109047,Great Dane
n02109525,Saint Bernard
n02109961,Eskimo dog
n02110063,malamute
n02110185,Siberian husky
n02110341,dalmatian
n02110627,affenpinscher
n02110806,basenji
n02110958,pug
n02111129,Leonberg
n02111277,Newfoundland
n02111500,Great Pyrenees
n02111889,Samoyed
n02112018,Pomeranian
n02112137,chow
n02112350,keeshond
n02112706,Brabancon griffon
n02113023,Pembroke
n02113186,Cardigan
n02113624,toy poodle
n02113712,miniature poodle
n02113799,standard poodle
n02113978,Mexican hairless
n02114367,timber wolf
n02114548,white wolf
n02114712,red wolf
n02114855,coyote
n02115641,dingo
n02115913,dhole
n02116738,African hunting dog
n02117135,hyena
n02119022,red fox
n02119789,kit fox
n02120079,Arctic fox
n02120505,grey fox
n02123045,tabby
n02123159,tiger cat
n02123394,Persian cat
n02123597,Siamese cat
n02124075,Egyptian cat
n02125311,cougar
n02127052,lynx
n02128385,leopard
n02128757,snow leopard
n02128925,jaguar
n02129165,lion
n02129604,tiger
n02130308,cheetah
n02132136,brown bear
n02133161,American black bear
n02134084,ice bear
n02134418,sloth bear
n02137549,mongoose
n02138441,meerkat
n02165105,tiger beetle
n02165456,ladybug
n02167151,ground beetle
n02168699,long-horned beetle
n02169497,leaf beetle
n02172182,dung beetle
n02174001,rhinoceros beetle
n02177972,weevil
n02190166,fly
n02206856,bee
n02219486,ant
n02226429,grasshopper
n02229544,cricket
n02231487,walking stick
n02233338,cockroach
n02236044,mantis
n02256656,cicada
n02259212,leafhopper
n02264363,lacewing
n02268443,dragonfly
n02268853,damselfly
n02276258,admiral
n02277742,ringlet
n02279972,monarch
n02280649,cabbage butterfly
n02281406,sulphur butterfly
n02281787,lycaenid
n02317335,starfish
n02319095,sea urchin
n02321529,sea cucumber
n02325366,wood rabbit
n02326432,hare
n02328150,Angora
n02342885,hamster
n02346627,porcupine
n02356798,fox squirrel
n02361337,marmot
n02363005,beaver
n02364673,guinea pig
n02389026,sorrel
n02391049,zebra
n02395406,hog
n02396427,wild boar
n02397096,warthog
n02398521,hippopotamus
n02403003,ox
n02408429,water buffalo
n02410509,bison
n02412080,ram
n02415577,bighorn
n02417914,ibex
n02422106,hartebeest
n02422699,impala
n02423022,gazelle
n02437312,Arabian camel
n02437616,llama
n02441942,weasel
n02442845,mink
n02443114,polecat
n02443484,black-footed ferret
n02444819,otter
n02445715,skunk
n02447366,badger
n02454379,armadillo
n02457408,three-toed sloth
n02480495,orangutan
n02480855,gorilla
n02481823,chimpanzee
n02483362,gibbon
n02483708,siamang
n02484975,guenon
n02486261,patas
n02486410,baboon
n02487347,macaque
n02488291,langur
n02488702,colobus
n02489166,proboscis monkey
n02490219,marmoset
n02492035,capuchin
n02492660,howler monkey
n02493509,titi
n02493793,spider monkey
n02494079,squirrel monkey
n02497673,Madagascar cat
n02500267,indri
n02504013,Indian elephant
n02504458,African elephant
n02509815,lesser panda
n02510455,giant panda
n02514041,barracouta
n02526121,eel
n02536864,coho
n02606052,rock beauty
n02607072,anemone fish
n02640242,sturgeon
n02641379,gar
n02643566,lionfish
n02655020,puffer
n02666196,abacus
n02667093,abaya
n02669723,academic gown
n02672831,accordion
n02676566,acoustic guitar
n02687172,aircraft carrier
n02690373,airliner
n02692877,airship
n02699494,altar
n02701002,ambulance
n02704792,amphibian
n02708093,analog clock
n02727426,apiary
n02730930,apron
n02747177,ashcan
n02749479,assault rifle
n02769748,backpack
n02776631,bakery
n02777292,balance beam
n02782093,balloon
n02783161,ballpoint
n02786058,Band Aid
n02787622,banjo
n02788148,bannister
n02790996,barbell
n02791124,barber chair
n02791270,barbershop
n02793495,barn
n02794156,barometer
n02795169,barrel
n02797295,barrow
n02799071,baseball
n02802426,basketball
n02804414,bassinet
n02804610,bassoon
n02807133,bathing cap
n02808304,bath towel
n02808440,bathtub
n02814533,beach wagon
n02814860,beacon
n02815834,beaker
n02817516,bearskin
n02823428,beer bottle
n02823750,beer glass
n02825657,bell cote
n02834397,bib
n02835271,bicycle-built-for-two
n02837789,bikini
n02840245,binder
n02841315,binoculars
n02843684,birdhouse
n02859443,boathouse
n02860847,bobsled
n02865351,bolo tie
n02869837,bonnet
n02870880,bookcase
n02871525,bookshop
n02877765,bottlecap
n02879718,bow
n02883205,bow tie
n02892201,brass
n02892767,brassiere
n02894605,breakwater
n02895154,breastplate
n02906734,broom
n02909870,bucket
n02910353,buckle
n02916936,bulletproof vest
n02917067,bullet train
n02927161,butcher shop
n02930766,cab
n02939185,caldron
n02948072,candle
n02950826,cannon
n02951358,canoe
n02951585,can opener
n02963159,cardigan
n02965783,car mirror
n02966193,carousel
n02966687,carpenters kit
n02971356,carton
n02974003,car wheel
n02977058,cash machine
n02978881,cassette
n02979186,cassette player
n02980441,castle
n02981792,catamaran
n02988304,CD player
n02992211,cello
n02992529,cellular telephone
n02999410,chain
n03000134,chainlink fence
n03000247,chain mail
n03000684,chain saw
n03014705,chest
n03016953,chiffonier
n03017168,chime
n03018349,china cabinet
n03026506,Christmas stocking
n03028079,church
n03032252,cinema
n03041632,cleaver
n03042490,cliff dwelling
n03045698,cloak
n03047690,clog
n03062245,cocktail shaker
n03063599,coffee mug
n03063689,coffeepot
n03065424,coil
n03075370,combination lock
n03085013,computer keyboard
n03089624,confectionery
n03095699,container ship
n03100240,convertible
n03109150,corkscrew
n03110669,cornet
n03124043,cowboy boot
n03124170,cowboy hat
n03125729,cradle
n03126707,crane
n03127747,crash helmet
n03127925,crate
n03131574,crib
n03133878,Crock Pot
n03134739,croquet ball
n03141823,crutch
n03146219,cuirass
n03160309,dam
n03179701,desk
n03180011,desktop computer
n03187595,dial telephone
n03188531,diaper
n03196217,digital clock
n03197337,digital watch
n03201208,dining table
n03207743,dishrag
n03207941,dishwasher
n03208938,disk brake
n03216828,dock
n03218198,dogsled
n03220513,dome
n03223299,doormat
n03240683,drilling platform
n03249569,drum
n03250847,drumstick
n03255030,dumbbell
n03259280,Dutch oven
n03271574,electric fan
n03272010,electric guitar
n03272562,electric locomotive
n03290653,entertainment center
n03291819,envelope
n03297495,espresso maker
n03314780,face powder
n03325584,feather boa
n03337140,file
n03344393,fireboat
n03345487,fire engine
n03347037,fire screen
n03355925,flagpole
n03372029,flute
n03376595,folding chair
n03379051,football helmet
n03384352,forklift
n03388043,fountain
n03388183,fountain pen
n03388549,four-poster
n03393912,freight car
n03394916,French horn
n03400231,frying pan
n03404251,fur coat
n03417042,garbage truck
n03424325,gasmask
n03425413,gas pump
n03443371,goblet
n03444034,go-kart
n03445777,golf ball
n03445924,golfcart
n03447447,gondola
n03447721,gong
n03450230,gown
n03452741,grand piano
n03457902,greenhouse
n03459775,grille
n03461385,grocery store
n03467068,guillotine
n03476684,hair slide
n03476991,hair spray
n03478589,half track
n03481172,hammer
n03482405,hamper
n03483316,hand blower
n03485407,hand-held computer
n03485794,handkerchief
n03492542,hard disc
n03494278,harmonica
n03495258,harp
n03496892,harvester
n03498962,hatchet
n03527444,holster
n03529860,home theater
n03530642,honeycomb
n03532672,hook
n03534580,hoopskirt
n03535780,horizontal bar
n03538406,horse cart
n03544143,hourglass
n03584254,iPod
n03584829,iron
n03590841,jack-o-lantern
n03594734,jean
n03594945,jeep
n03595614,jersey
n03598930,jigsaw puzzle
n03599486,jinrikisha
n03602883,joystick
n03617480,kimono
n03623198,knee pad
n03627232,knot
n03630383,lab coat
n03633091,ladle
n03637318,lampshade
n03642806,laptop
n03649909,lawn mower
n03657121,lens cap
n03658185,letter opener
n03661043,library
n03662601,lifeboat
n03666591,lighter
n03670208,limousine
n03673027,liner
n03676483,lipstick
n03680355,Loafer
n03690938,lotion
n03691459,loudspeaker
n03692522,loupe
n03697007,lumbermill
n03706229,magnetic compass
n03709823,mailbag
n03710193,mailbox
n03710637,maillot
n03710721,maillot
n03717622,manhole cover
n03720891,maraca
n03721384,marimba
n03724870,mask
n03729826,matchstick
n03733131,maypole
n03733281,maze
n03733805,measuring cup
n03742115,medicine chest
n03743016,megalith
n03759954,microphone
n03761084,microwave
n03763968,military uniform
n03764736,milk can
n03769881,minibus
n03770439,miniskirt
n03770679,minivan
n03773504,missile
n03775071,mitten
n03775546,mixing bowl
n03776460,mobile home
n03777568,Model T
n03777754,modem
n03781244,monastery
n03782006,monitor
n03785016,moped
n03786901,mortar
n03787032,mortarboard
n03788195,mosque
n03788365,mosquito net
n03791053,motor scooter
n03792782,mountain bike
n03792972,mountain tent
n03793489,mouse
n03794056,mousetrap
n03796401,moving van
n03803284,muzzle
n03804744,nail
n03814639,neck brace
n03814906,necklace
n03825788,nipple
n03832673,notebook
n03837869,obelisk
n03838899,oboe
n03840681,ocarina
n03841143,odometer
n03843555,oil filter
n03854065,organ
n03857828,oscilloscope
n03866082,overskirt
n03868242,oxcart
n03868863,oxygen mask
n03871628,packet
n03873416,paddle
n03874293,paddlewheel
n03874599,padlock
n03876231,paintbrush
n03877472,pajama
n03877845,palace
n03884397,panpipe
n03887697,paper towel
n03888257,parachute
n03888605,parallel bars
n03891251,park bench
n03891332,parking meter
n03895866,passenger car
n03899768,patio
n03902125,pay-phone
n03903868,pedestal
n03908618,pencil box
n03908714,pencil sharpener
n03916031,perfume
n03920288,Petri dish
n03924679,photocopier
n03929660,pick
n03929855,pickelhaube
n03930313,picket fence
n03930630,pickup
n03933933,pier
n03935335,piggy bank
n03937543,pill bottle
n03938244,pillow
n03942813,ping-pong ball
n03944341,pinwheel
n03947888,pirate
n03950228,pitcher
n03954731,plane
n03956157,planetarium
n03958227,plastic bag
n03961711,plate rack
n03967562,plow
n03970156,plunger
n03976467,Polaroid camera
n03976657,pole
n03977966,police van
n03980874,poncho
n03982430,pool table
n03983396,pop bottle
n03991062,pot
n03992509,potters wheel
n03995372,power drill
n03998194,prayer rug
n04004767,printer
n04005630,prison
n04008634,projectile
n04009552,projector
n04019541,puck
n04023962,punching bag
n04026417,purse
n04033901,quill
n04033995,quilt
n04037443,racer
n04039381,racket
n04040759,radiator
n04041544,radio
n04044716,radio telescope
n04049303,rain barrel
n04065272,recreational vehicle
n04067472,reel
n04069434,reflex camera
n04070727,refrigerator
n04074963,remote control
n04081281,restaurant
n04086273,revolver
n04090263,rifle
n04099969,rocking chair
n04111531,rotisserie
n04116512,rubber eraser
n04118538,rugby ball
n04118776,rule
n04120489,running shoe
n04125021,safe
n04127249,safety pin
n04131690,saltshaker
n04133789,sandal
n04136333,sarong
n04141076,sax
n04141327,scabbard
n04141975,scale
n04146614,school bus
n04147183,schooner
n04149813,scoreboard
n04152593,screen
n04153751,screw
n04154565,screwdriver
n04162706,seat belt
n04179913,sewing machine
n04192698,shield
n04200800,shoe shop
n04201297,shoji
n04204238,shopping basket
n04204347,shopping cart
n04208210,shovel
n04209133,shower cap
n04209239,shower curtain
n04228054,ski
n04229816,ski mask
n04235860,sleeping bag
n04238763,slide rule
n04239074,sliding door
n04243546,slot
n04251144,snorkel
n04252077,snowmobile
n04252225,snowplow
n04254120,soap dispenser
n04254680,soccer ball
n04254777,sock
n04258138,solar dish
n04259630,sombrero
n04263257,soup bowl
n04264628,space bar
n04265275,space heater
n04266014,space shuttle
n04270147,spatula
n04273569,speedboat
n04275548,spider web
n04277352,spindle
n04285008,sports car
n04286575,spotlight
n04296562,stage
n04310018,steam locomotive
n04311004,steel arch bridge
n04311174,steel drum
n04317175,stethoscope
n04325704,stole
n04326547,stone wall
n04328186,stopwatch
n04330267,stove
n04332243,strainer
n04335435,streetcar
n04336792,stretcher
n04344873,studio couch
n04346328,stupa
n04347754,submarine
n04350905,suit
n04355338,sundial
n04355933,sunglass
n04356056,sunglasses
n04357314,sunscreen
n04366367,suspension bridge
n04367480,swab
n04370456,sweatshirt
n04371430,swimming trunks
n04371774,swing
n04372370,switch
n04376876,syringe
n04380533,table lamp
n04389033,tank
n04392985,tape player
n04398044,teapot
n04399382,teddy
n04404412,television
n04409515,tennis ball
n04417672,thatch
n04418357,theater curtain
n04423845,thimble
n04428191,thresher
n04429376,throne
n04435653,tile roof
n04442312,toaster
n04443257,tobacco shop
n04447861,toilet seat
n04456115,torch
n04458633,totem pole
n04461696,tow truck
n04462240,toyshop
n04465501,tractor
n04467665,trailer truck
n04476259,tray
n04479046,trench coat
n04482393,tricycle
n04483307,trimaran
n04485082,tripod
n04486054,triumphal arch
n04487081,trolleybus
n04487394,trombone
n04493381,tub
n04501370,turnstile
n04505470,typewriter keyboard
n04507155,umbrella
n04509417,unicycle
n04515003,upright
n04517823,vacuum
n04522168,vase
n04523525,vault
n04525038,velvet
n04525305,vending machine
n04532106,vestment
n04532670,viaduct
n04536866,violin
n04540053,volleyball
n04542943,waffle iron
n04548280,wall clock
n04548362,wallet
n04550184,wardrobe
n04552348,warplane
n04553703,washbasin
n04554684,washer
n04557648,water bottle
n04560804,water jug
n04562935,water tower
n04579145,whiskey jug
n04579432,whistle
n04584207,wig
n04589890,window screen
n04590129,window shade
n04591157,Windsor tie
n04591713,wine bottle
n04592741,wing
n04596742,wok
n04597913,wooden spoon
n04599235,wool
n04604644,worm fence
n04606251,wreck
n04612504,yawl
n04613696,yurt
n06359193,web site
n06596364,comic book
n06785654,crossword puzzle
n06794110,street sign
n06874185,traffic light
n07248320,book jacket
n07565083,menu
n07579787,plate
n07583066,guacamole
n07584110,consomme
n07590611,hot pot
n07613480,trifle
n07614500,ice cream
n07615774,ice lolly
n07684084,French loaf
n07693725,bagel
n07695742,pretzel
n07697313,cheeseburger
n07697537,hotdog
n07711569,mashed potato
n07714571,head cabbage
n07714990,broccoli
n07715103,cauliflower
n07716358,zucchini
n07716906,spaghetti squash
n07717410,acorn squash
n07717556,butternut squash
n07718472,cucumber
n07718747,artichoke
n07720875,bell pepper
n07730033,cardoon
n07734744,mushroom
n07742313,Granny Smith
n07745940,strawberry
n07747607,orange
n07749582,lemon
n07753113,fig
n07753275,pineapple
n07753592,banana
n07754684,jackfruit
n07760859,custard apple
n07768694,pomegranate
n07802026,hay
n07831146,carbonara
n07836838,chocolate sauce
n07860988,dough
n07871810,meat loaf
n07873807,pizza
n07875152,potpie
n07880968,burrito
n07892512,red wine
n07920052,espresso
n07930864,cup
n07932039,eggnog
n09193705,alp
n09229709,bubble
n09246464,cliff
n09256479,coral reef
n09288635,geyser
n09332890,lakeside
n09399592,promontory
n09421951,sandbar
n09428293,seashore
n09468604,valley
n09472597,volcano
n09835506,ballplayer
n10148035,groom
n10565667,scuba diver
n11879895,rapeseed
n11939491,daisy
n12057211,yellow ladys slipper
n12144580,corn
n12267677,acorn
n12620546,hip
n12768682,buckeye
n12985857,coral fungus
n12998815,agaric
n13037406,gyromitra
n13040303,stinkhorn
n13044778,earthstar
n13052670,hen-of-the-woods
n13054560,bolete
n13133613,ear
n15075141,toilet tissue
